strategy,observed_count,observed_fraction,repeat,rank,beta,sigma_min,sigma_min_nonzero,condition_number,noise_amplification,noiseless_relative_error,noisy_ls_relative_error,noisy_ridge_relative_error
rank_greedy,18,0.72,5,10,10,0.6537980821371033,0.6537980821371033,1.5295242175248498,1.5295242175248491,5.086166632446223e-15,0.07355367490591207,0.06462823826490569
random,18,0.72,5,10,10,0.465532432857283,0.465532432857283,2.148078048745891,2.148078048745891,6.65045832908259e-15,0.07938919301880952,0.06980993802140871
tree_first,18,0.72,6,10,10,0.49000699035184986,0.49000699035184986,2.0407872126108844,2.040787212610884,5.6903668571537386e-15,0.07366372319248055,0.05063093114348032
chord_first,18,0.72,6,10,10,0.4234520023374473,0.4234520023374473,2.361542735611164,2.361542735611163,7.172118076178739e-15,0.10347712390756143,0.0981209662236505
rank_greedy,18,0.72,6,10,10,0.6537980821371033,0.6537980821371033,1.5295242175248498,1.5295242175248491,5.086166632446223e-15,0.08130864604911676,0.07110443743542857
random,18,0.72,6,10,10,0.5603186420658296,0.5603186420658296,1.7846987855216045,1.7846987855216032,5.233674239103254e-15,0.09938832616445697,0.10330358525459318
tree_first,18,0.72,7,10,10,0.49000699035184986,0.49000699035184986,2.0407872126108844,2.040787212610884,5.6903668571537386e-15,0.08339297827260773,0.08298824011160033
chord_first,18,0.72,7,10,10,0.4234520023374473,0.4234520023374473,2.361542735611164,2.361542735611163,7.172118076178739e-15,0.06229504281379527,0.06768880104946502
rank_greedy,18,0.72,7,10,10,0.6537980821371033,0.6537980821371033,1.5295242175248498,1.5295242175248491,5.086166632446223e-15,0.09065292833085353,0.09185992963993533
random,18,0.72,7,10,10,0.40760210592759255,0.40760210592759255,2.4533729965017477,2.4533729965017463,5.879204869530114e-15,0.055355361579066335,0.06303466834873002
tree_first,19,0.76,0,10,10,0.504284667627251,0.504284667627251,1.9830069486450543,1.9830069486450534,5.7806275530513375e-15,0.08783401567210748,0.08975363424054811
chord_first,19,0.76,0,10,10,0.4285478795926313,0.4285478795926313,2.3334615514854016,2.3334615514854002,6.22195569143167e-15,0.07526646839156911,0.08673073178131986
